epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1011.19,0.78909,0.4835,1.22625,0.99178,0.99559,0.99482,0.73436,1.01709,0.52849,1.39374,0.000558491,0.000558491,0.000558491
112,1020.25,0.80278,0.48223,1.23608,0.99379,0.99949,0.995,0.69835,1.13212,0.52338,1.47006,0.000557077,0.000557077,0.000557077
113,1029.13,0.76258,0.47974,1.20631,0.99745,0.99973,0.995,0.70324,1.1016,0.51913,1.45103,0.000555663,0.000555663,0.000555663
114,1037.83,0.77808,0.46142,1.19829,0.99299,0.99291,0.99494,0.72864,0.98361,0.53151,1.36648,0.00055425,0.00055425,0.00055425
115,1046.65,0.81424,0.48628,1.23035,0.99506,0.99788,0.995,0.70924,1.10462,0.52584,1.43674,0.000552836,0.000552836,0.000552836
116,1055.36,0.79505,0.48777,1.21341,0.99624,0.99927,0.995,0.7278,1.03725,0.50107,1.38866,0.000551422,0.000551422,0.000551422
117,1063.99,0.78031,0.47105,1.231,0.99018,0.99757,0.99493,0.72659,1.02917,0.52136,1.40445,0.000550008,0.000550008,0.000550008
118,1072.72,0.77501,0.45704,1.21205,0.99339,0.99854,0.995,0.72154,1.05923,0.50513,1.4043,0.000548595,0.000548595,0.000548595
119,1081.31,0.77294,0.45787,1.1862,0.98707,0.99646,0.99482,0.73298,1.03796,0.50026,1.40285,0.000547181,0.000547181,0.000547181
120,1089.97,0.81448,0.47517,1.23451,0.97713,0.99766,0.99266,0.73133,1.03147,0.53776,1.41001,0.000545767,0.000545767,0.000545767
121,1098.77,0.78195,0.47272,1.2071,0.99629,0.99862,0.995,0.725,1.02218,0.53113,1.42088,0.000544354,0.000544354,0.000544354
122,1107.49,0.77903,0.44962,1.19366,0.98783,0.99795,0.99458,0.73278,1.02151,0.51381,1.39854,0.00054294,0.00054294,0.00054294
123,1116.29,0.78308,0.46146,1.19966,0.99107,1,0.995,0.73988,0.99956,0.52286,1.38456,0.000541526,0.000541526,0.000541526
124,1125.11,0.79588,0.47621,1.2191,0.99672,1,0.995,0.73502,0.99941,0.48586,1.36645,0.000540112,0.000540112,0.000540112
125,1133.67,0.75255,0.45267,1.20252,0.99091,0.99873,0.995,0.75167,0.9672,0.48646,1.34395,0.000538699,0.000538699,0.000538699
126,1142.46,0.74714,0.45657,1.16666,0.98802,1,0.995,0.70179,1.07226,0.53427,1.42878,0.000537285,0.000537285,0.000537285
127,1151.33,0.83467,0.47617,1.23028,0.99488,0.99936,0.995,0.72391,1.02758,0.49164,1.3727,0.000535871,0.000535871,0.000535871
128,1160.17,0.74372,0.43844,1.17138,0.99223,0.99843,0.99464,0.72471,1.04958,0.49519,1.39434,0.000534458,0.000534458,0.000534458
129,1169.09,0.73849,0.4378,1.18834,0.99687,0.99972,0.995,0.73072,1.00558,0.48006,1.37484,0.000533044,0.000533044,0.000533044
130,1177.96,0.74009,0.44999,1.16814,0.99534,0.99616,0.995,0.73803,1.00229,0.48982,1.37077,0.00053163,0.00053163,0.00053163
131,1186.81,0.75303,0.44303,1.17664,0.99028,0.99773,0.99493,0.69511,1.08833,0.51699,1.44816,0.000530216,0.000530216,0.000530216
132,1195.63,0.78265,0.44442,1.23676,0.99622,0.99633,0.995,0.72751,1.00642,0.48219,1.36502,0.000528803,0.000528803,0.000528803
133,1204.4,0.77572,0.44946,1.19357,0.99386,0.99427,0.99488,0.72648,1.02681,0.50278,1.40057,0.000527389,0.000527389,0.000527389
134,1213.19,0.77565,0.43492,1.17267,0.98977,0.99769,0.99493,0.72748,0.98886,0.489,1.35869,0.000525975,0.000525975,0.000525975
135,1222.18,0.76831,0.44996,1.19403,0.99087,0.99636,0.995,0.73256,1.01711,0.5048,1.36808,0.000524562,0.000524562,0.000524562
136,1230.93,0.77039,0.46827,1.18696,0.99558,0.99888,0.995,0.72502,1.03148,0.48192,1.3736,0.000523148,0.000523148,0.000523148
137,1239.89,0.76149,0.44677,1.19383,0.99224,0.99924,0.995,0.7189,1.0458,0.50453,1.40769,0.000521734,0.000521734,0.000521734
138,1248.74,0.80989,0.46446,1.21565,0.99256,0.99552,0.995,0.73312,0.98536,0.50643,1.37002,0.00052032,0.00052032,0.00052032
139,1257.49,0.74397,0.44368,1.16928,0.99245,0.99557,0.995,0.73087,1.02395,0.50127,1.3813,0.000518907,0.000518907,0.000518907
140,1266.45,0.74935,0.43149,1.22374,0.98917,1,0.99464,0.733,0.97686,0.48264,1.36392,0.000517493,0.000517493,0.000517493
